# From Frank Bethwaite, High Performance Sailing, minus daggerboard and rudder with naca 0010 profile
WEIGHT	204

VELOCITY	TOTAL_DRAG
0	0
0.402358436	4.970078212 - 0.57
0.775976983	9.940156425 -1.59
1.07774581	16.15275419 - 2.6
1.66691352	29.82046927 - 5,88
2.069271955	43.48818436 - 8.36
2.557850056	70.82361453 - 11.28
2.931468603	95.67400559 - 13,37
3.276347263	119.2818771 - 15,5
3.664335754	145.3747877 - 18,7
3.994844469	168.9826592 - 21,6
4.555272291	208.7432849 - 26.6
5.072590279	246.0188715 - 33,0
5.546798436	279.5668994 - 39,2
5.963526816	308.1448492 - 45,1
6.380255196	335.4802793 - 51.6
6.840093408	365.3007486 - 58.7
7.199342011	390.1511397 - 63.8
7.687920112	422.456648 - 71.7
8.018428827	444.822 - 77.2
100	6287
