Profil;Auftrieb [N];Biegekraft [N];Spannweite des Flügels [m];Geschwindigkeit des Flügels durch das Wasser [m/s];Flächenmoment 2. Ordnung für den Flügelquerschnitt [m^4];Durchbiegung [m];Dicke des Flügels [m];Relative Dicke des Flügels;Profilwiderstand [N];Flächenmoment 2. Ordnung;Reynoldszahl;Widerstandsbeiwert für den Induzierten Widerstand;Auftriebsbeiwert;Widerstandsbeiwert für den Profilwiderstand;Tiefe des Flügels [m];Anstellwinkel [°];
bqm34-il;100,0;1000,0;1,5;2,0;5,0E-8;0,225;0,018959350225674455;0,098994;6,759145225309039;3,716307993662793E-5;383040,39084539376;0,0012311239572228385;0,1740460490851349;0,011764025216576922;0,19152019542269688;1,174679260473656;
bqm34-il;100,0;1000,0;1,5;2,5;5,0E-8;0,225;0,018959350225674455;0,098994;9,64010459490644;3,716307993662793E-5;478800,4885567422;5,042683728784747E-4;0,11138947141448634;0,01073806155206989;0,19152019542269688;0,854389395761693;
bqm34-il;100,0;1000,0;1,5;3,0;5,0E-8;0,225;0,018959350225674455;0,098994;12,485976583394718;3,716307993662793E-5;574560,5862680908;2,4318497920451142E-4;0,07735379959339331;0,009658377303597164;0,19152019542269688;0,6552155989244163;
bqm34-il;100,0;1000,0;1,5;3,5;5,0E-8;0,225;0,018959350225674455;0,098994;15,120611802753752;3,716307993662793E-5;670320,6839794392;1,3126519493921143E-4;0,056831362966574664;0,008593249776389714;0,19152019542269688;0,5187148759216786;
bqm34-il;100,0;1000,0;1,5;4,0;5,0E-8;0,225;0,018959350225674455;0,098994;17,29708682603293;3,716307993662793E-5;766080,7816907875;7,694524732642741E-5;0,04351151227128373;0,007526224056883919;0,19152019542269688;0,41631040448374773;
bqm34-il;200,0;1000,0;1,5;2,0;5,0E-8;0,225;0,018959350225674455;0,098994;6,58665047013579;3,716307993662793E-5;383040,39084539376;0,004924495828891354;0,3480920981702698;0,011463804910318807;0,19152019542269688;2,2235903372857493;
bqm34-il;200,0;1000,0;1,5;2,5;5,0E-8;0,225;0,018959350225674455;0,098994;9,594617111536259;3,716307993662793E-5;478800,4885567422;0,002017073491513899;0,22277894282897268;0,010687393284784094;0,19152019542269688;1,5528632312781614;
bqm34-il;200,0;1000,0;1,5;3,0;5,0E-8;0,225;0,018959350225674455;0,098994;12,526706236474263;3,716307993662793E-5;574560,5862680908;9,727399168180457E-4;0,15470759918678662;0,009689883237815401;0,19152019542269688;1,187814675911593;
bqm34-il;200,0;1000,0;1,5;3,5;5,0E-8;0,225;0,018959350225674455;0,098994;15,189639255880449;3,716307993662793E-5;670320,6839794392;5,250607797568457E-4;0,11366272593314933;0,008632479018822728;0,19152019542269688;0,9428223045183801;
bqm34-il;200,0;1000,0;1,5;4,0;5,0E-8;0,225;0,018959350225674455;0,098994;17,363937894043875;3,716307993662793E-5;766080,7816907875;3,0778098930570963E-4;0,08702302454256745;0,007555311967544985;0,19152019542269688;0,7650346370084733;
bqm34-il;300,0;1000,0;1,5;2,0;5,0E-8;0,225;0,018959350225674455;0,098994;6,864157051631977;3,716307993662793E-5;383040,39084539376;0,011080115615005543;0,5221381472554046;0,01194679415136414;0,19152019542269688;4,252562624628844;
bqm34-il;300,0;1000,0;1,5;2,5;5,0E-8;0,225;0,018959350225674455;0,098994;9,585716415326551;3,716307993662793E-5;478800,4885567422;0,004538415355906271;0,334168414243459;0,010677478846323894;0,19152019542269688;2,299082598545832;
bqm34-il;300,0;1000,0;1,5;3,0;5,0E-8;0,225;0,018959350225674455;0,098994;12,526966596632008;3,716307993662793E-5;574560,5862680908;0,0021886648128406016;0,23206139878017987;0,009690084636290043;0,19152019542269688;1,7216489648109672;
bqm34-il;300,0;1000,0;1,5;3,5;5,0E-8;0,225;0,018959350225674455;0,098994;15,23910250427326;3,716307993662793E-5;670320,6839794392;0,0011813867544529027;0,17049408889972398;0,008660589657051906;0,19152019542269688;1,3683580913403564;
bqm34-il;300,0;1000,0;1,5;4,0;5,0E-8;0,225;0,018959350225674455;0,098994;17,431920811422412;3,716307993662793E-5;766080,7816907875;6,925072259378464E-4;0,13053453681385116;0,007584892362982524;0,19152019542269688;1,1149492936121805;
